date,c,tau,loss,price
2019-08-15 08:00:00,0.006450125481933355,2.755337953567505,32.72554397583008,9918.0
2019-11-13 08:00:00,0.007223538123071194,2.9386987686157227,42.197059631347656,8643.5
2020-02-11 08:00:00,0.006752134300768375,3.164961814880371,10.688114166259766,10412.5
2020-05-11 08:00:00,0.00601148558780551,3.504542827606201,9.692352294921875,8655.0
2020-08-09 08:00:00,0.006905436050146818,3.712144136428833,10.97457504272461,11997.0
2020-11-07 08:00:00,0.00610282551497221,3.8895888328552246,21.424758911132812,14959.5
2021-02-05 08:00:00,0.005907629616558552,4.104247570037842,15.948697090148926,39454.5
2021-05-06 08:00:00,0.00632406584918499,4.305821418762207,4.965427875518799,55831.5
2021-08-04 08:00:00,0.006318656727671623,4.508815288543701,7.290996551513672,38870.5
2021-11-02 08:00:00,0.005930102895945311,4.7364654541015625,1.5850433111190796,63478.0
2022-01-31 08:00:00,0.0061037433333694935,4.913670063018799,2.158764362335205,38477.0
2022-05-01 08:00:00,0.006161054130643606,5.008069038391113,4.555342674255371,38902.5
2022-07-30 08:00:00,0.006156038027256727,5.168891429901123,1.9855173826217651,23723.0
2022-10-28 08:00:00,0.005768170114606619,5.406161308288574,2.8175547122955322,20779.5
2023-01-26 08:00:00,0.006043013650923967,5.4940948486328125,0.7194753885269165,23089.0
2023-04-26 08:00:00,0.00569669296965003,5.59337854385376,0.984058678150177,28905.5
2023-07-25 08:00:00,0.005622823256999254,5.694155216217041,3.0529918670654297,29210.5
2023-10-23 08:00:00,0.005368171259760857,5.7218918800354,1.6158735752105713,34033.5
2024-01-21 08:00:00,0.005543962586671114,5.729228496551514,2.2452454566955566,40992.0
2024-04-20 08:00:00,0.0055070845410227776,5.791769027709961,1.7951550483703613,65148.5
2024-07-19 08:00:00,0.005363610107451677,5.850171089172363,1.8213530778884888,66645.0
2024-10-17 08:00:00,0.005698061548173428,5.831427574157715,1.0427814722061157,67978.5
2025-01-15 08:00:00,0.005644152872264385,5.829401016235352,0.9711172580718994,99837.0
2025-04-15 08:00:00,0.0055009424686431885,5.859155178070068,0.8945544958114624,83342.0
2025-07-14 08:00:00,0.005554260686039925,6.015081405639648,0.8371435403823853,116800.0
2025-10-12 08:00:00,0.00535673089325428,6.070967674255371,1.2536890506744385,115495.0
2026-01-10 08:00:00,0.005321546923369169,6.11405611038208,0.9142328500747681,90624.5
