date,c,tau,loss,price,c_filtered,c_std,tau_filtered,tau_std
2019-08-15 08:00:00,0.0064501254819333,2.755337953567505,32.72554397583008,9918.0,0.006559749150902428,0.05129893699025173,2.821575036940051,0.06911466657628444
2019-11-13 08:00:00,0.0072235381230711,2.9386987686157227,42.197059631347656,8643.5,0.006981245346674798,0.06331764505336379,2.9119953800860854,0.10254551097725198
2020-02-11 08:00:00,0.0067521343007683,3.164961814880371,10.688114166259766,10412.5,0.0068295943203718025,0.06464614079695512,3.112341738975945,0.10386406251950471
2020-05-11 08:00:00,0.0060114855878055,3.504542827606201,9.692352294921877,8655.0,0.0062855843220184105,0.06479490649546704,3.4232979363279767,0.10392050284381318
2020-08-09 08:00:00,0.0069054360501468,3.712144136428833,10.97457504272461,11997.0,0.006697973236798334,0.06481156732331987,3.652319994901024,0.103922923669812
2020-11-07 08:00:00,0.0061028255149722,3.8895888328552246,21.42475891113281,14959.5,0.006301997160505508,0.06481343322898565,3.840447469937724,0.1039230275121865
2021-02-05 08:00:00,0.0059076296165585,4.104247570037842,15.948697090148926,39454.5,0.006039606641451535,0.06481364219835693,4.049611266703095,0.10392303196656612
2021-05-06 08:00:00,0.0063240658491849,4.305821418762207,4.965427875518799,55831.5,0.0062288703225397936,0.06481366560157453,4.252757089434927,0.10392303215763943
2021-08-04 08:00:00,0.0063186567276716,4.508815288543701,7.290996551513672,38870.5,0.00628860931660057,0.06481366822258347,4.4557824306063685,0.10392303216583555
2021-11-02 08:00:00,0.0059301028959453,4.7364654541015625,1.5850433111190796,63478.0,0.006050078627051013,0.06481366851611951,4.678332486823554,0.10392303216618716
2022-01-31 08:00:00,0.0061037433333694,4.913670063018799,2.158764362335205,38477.0,0.0060857842063044825,0.06481366854899365,4.864928705433761,0.10392303216620226
2022-05-01 08:00:00,0.0061610541306436,5.008069038391113,4.555342674255371,38902.5,0.006135864723530337,0.06481366855267534,4.978422883848725,0.1039230321662029
2022-07-30 08:00:00,0.0061560380272567,5.168891429901123,1.9855173826217647,23723.0,0.006149286943542565,0.06481366855308766,5.129443010052779,0.10392303216620292
2022-10-28 08:00:00,0.0057681701146066,5.406161308288574,2.817554712295532,20779.5,0.005895712516778576,0.06481366855313385,5.348849485235534,0.10392303216620292
2023-01-26 08:00:00,0.0060430136509239,5.4940948486328125,0.7194753885269165,23089.0,0.005993718686584495,0.06481366855313901,5.46401271593913,0.10392303216620292
2023-04-26 08:00:00,0.00569669296965,5.59337854385376,0.984058678150177,28905.5,0.005796093915943638,0.06481366855313961,5.5665852617115155,0.10392303216620292
2023-07-25 08:00:00,0.0056228232569992,5.694155216217041,3.0529918670654297,29210.5,0.005680809035610409,0.06481366855313968,5.667733881935507,0.10392303216620292
2023-10-23 08:00:00,0.0053681712597608,5.7218918800354,1.6158735752105713,34033.5,0.005472796849380849,0.06481366855313968,5.710675080771323,0.10392303216620292
2024-01-21 08:00:00,0.0055439625866711,5.729228496551514,2.2452454566955566,40992.0,0.00552014666358086,0.06481366855313968,5.725385851923374,0.10392303216620292
2024-04-20 08:00:00,0.0055070845410227,5.791769027709961,1.795155048370361,65148.5,0.005511455837071692,0.06481366855313968,5.778020241133015,0.10392303216620292
2024-07-19 08:00:00,0.0053636101074516,5.850171089172363,1.8213530778884888,66645.0,0.005413087323032066,0.06481366855313968,5.835227745481971,0.10392303216620292
2024-10-17 08:00:00,0.0056980615481734,5.831427574157715,1.0427814722061155,67978.5,0.005602693685953604,0.06481366855313968,5.832214637203041,0.10392303216620292
2025-01-15 08:00:00,0.0056441528722643,5.829401016235352,0.9711172580718994,99837.0,0.005630278375488803,0.06481366855313968,5.829983752353876,0.10392303216620292
2025-04-15 08:00:00,0.0055009424686431,5.859155178070068,0.8945544958114624,83342.0,0.005544225291635305,0.06481366855313968,5.853113410686016,0.10392303216620292
2025-07-14 08:00:00,0.0055542606860399,6.015081405639648,0.8371435403823853,116800.0,0.005550902297713994,0.06481366855313968,5.981535806645221,0.10392303216620292
2025-10-12 08:00:00,0.0053567308932542,6.070967674255371,1.2536890506744385,115495.0,0.005421711197133829,0.06481366855313968,6.052445215117492,0.10392303216620292
2026-01-10 08:00:00,0.0053215469233691,6.11405611038208,0.914232850074768,90624.5,0.0053550673326447215,0.06481366855313968,6.10129572283252,0.10392303216620292
